icij_sar_id,filer_org_name_id,filer_org_name,entity_b_id,entity_b,entity_b_country,entity_b_iso_code
4229,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,credit-suisse-switzerland-ltd-zurich-switzerland-che,Credit Suisse Switzerland Ltd,Switzerland,CHE
3371,barclays-plc,Barclays Plc,barclays-bank-plc-dubai-are,Barclays Bank Plc,United Arab Emirates,ARE
3371,barclays-plc,Barclays Plc,barclays-bank-plc-nicosia-cyprus-cyp,Barclays Bank Plc,Cyprus,CYP
4172,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,credit-suisse-ag-zurich-che,Credit Suisse AG,Switzerland,CHE
4172,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,banque-de-commerce-et-de-placements-sa-geneva-switzerland-che,Banque De Commerce Et De Placements SA,Switzerland,CHE
4172,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bank-vtb-northwest-jsc-st-petersburg-russia-rus,Bank VTB Northwest JSC,Russia,RUS
4172,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,sberbank-st-petersburg-russia-rus,Sberbank,Russia,RUS
4172,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,banque-de-commerce-et-de-placements-sa-geneva-switzerland-che,Banque De Commerce Et De Placements SA,Switzerland,CHE
2487,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,fidobank-kyiv-ukraine-ukr,Fidobank,Ukraine,UKR
2487,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,turkiye-cummuriyeti-ziraat-bankasi-ankara-turkey-tur,Turkiye Cummuriyeti Ziraat Bankasi,Turkey,TUR
2462,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,finansbank-as-istanbul-turkey-tur,Finansbank A.S. ,Turkey,TUR
3301,barclays-plc,Barclays Plc,barclays-bank-plc-uk-retail-gbr,Barclays Bank Plc,United Kingdom,GBR
4267,deutsche-bank-ag,Deutsche Bank AG,ecobank-senegal-senegal-sen,Ecobank Senegal,Senegal,SEN
4267,deutsche-bank-ag,Deutsche Bank AG,ecobank-nigeria-plc-nigeria-nga,Ecobank Nigeria Plc,Nigeria,NGA
